JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2440898.6,11.1,,,Vis.,BJ,,,,,,,,V,,,,RU AND,,STD,,,,
2440898.7,12.8,,,Vis.,MUR,,,,,,,,V,,,,RU AND,,STD,,,,
2440907.6,11.8,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440910.6,12.8,,,Vis.,CCR,,,,,,,,V,,,,RU AND,,STD,,,,
2440912.8,12.4,,,Vis.,FD,,,,,,,,V,,,,RU AND,,STD,,,,
2440915.7,12.7,,,Vis.,LX,,,,,,,,V,,,,RU AND,,STD,,,,
2440915.8,11.5,,,Vis.,NN,,,,,,,,V,,,,RU AND,,STD,,,,
2440916.6,11.5,,,Vis.,BJ,,,,,,,,V,,,,RU AND,,STD,,,,
2440916.7,11.5,,,Vis.,NN,,,,,,,,V,,,,RU AND,,STD,,,,
2440917.45,12.9,,,Vis.,OF,,,,,,,,V,,,,RU AND,,STD,,,,
2440921.5,12.8,,,Vis.,CCR,,,,,,,,V,,,,RU AND,,STD,,,,
2440922.7,13.0,,,Vis.,MYR,,,,,,,,V,,,,RU AND,,STD,,,,
2440925.6,12.8,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440925.7,12.8,,,Vis.,LX,,,,,,,,V,,,,RU AND,,STD,,,,
2440927.6,11.5,,,Vis.,NN,,,,,,,,V,,,,RU AND,,STD,,,,
2440928.6,12.3,,,Vis.,LS,,,,,,,,V,,,,RU AND,,STD,,,,
2440928.6,11.5,,,Vis.,NN,,,,,,,,V,,,,RU AND,,STD,,,,
2440935.5,12.6,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440935.79,12.1,,,Vis.,WFQ,,,,,,,,V,,,,RU AND,,STD,,,,
2440936.6,12.2,,,Vis.,FD,,,,,,,,V,,,,RU AND,,STD,,,,
2440936.6,12.5,,,Vis.,LX,,,,,,,,V,,,,RU AND,,STD,,,,
2440939.6,12.2,,,Vis.,CCR,,,,,,,,V,,,,RU AND,,STD,,,,
2440940.5,11.5,,,Vis.,BJ,,,,,,,,V,,,,RU AND,,STD,,,,
2440947.6,11.4,,,Vis.,BRJ,,,,,,,,V,,,,RU AND,,STD,,,,
2440947.6,11.3,,,Vis.,NN,,,,,,,,V,,,,RU AND,,STD,,,,
2440949.6,11.4,,,Vis.,MUR,,,,,,,,V,,,,RU AND,,STD,,,,
2440951.7,11.4,,,Vis.,LX,,,,,,,,V,,,,RU AND,,STD,,,,
2440954.6,11.0,,,Vis.,LS,,,,,,,,V,,,,RU AND,,STD,,,,
2440957.6,11.2,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440966.5,11.1,,,Vis.,BRJ,,,,,,,,V,,,,RU AND,,STD,,,,
